data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
6709736,804,UKR30592,30592,"19 December 2019",2019,1,Protests,"Peaceful protest","Protesters (Ukraine)","Labour Group (Ukraine)",6,,,0,60,Europe,Ukraine,"Kiev City",Kiev,,Kiev-Pecherskyi,50.427,30.5454,1,"Independent Trade Union of Miners of Ukraine","New media","On 19 December, miners protested outside the Parliament's building in Kyiv demanding that their wage arrears are paid off. [size=no report]",0,1578510534,UKR
6715624,356,IND68206,68206,"19 December 2019",2019,1,Protests,"Peaceful protest","Protesters (India)","CPI(M): Communist Party of India (Marxist); CPI: Communist Party of India; INC: Indian National Congress; Muslim Group (India); Farmers (India); JD(S): Janata Dal (Secular)",6,,,0,60,"Southern Asia",India,Karnataka,Hassan,Hassan,Hassan,13.0071,76.0962,1,"The Hindu",National,"On December 19, hundreds of left parties, progressive organisations, workers of the Congress, JD(S), CPI(M), CPI, Raitha Sangha (farmer's movement) and Muslim Welfare Association participated in a protest at Hemavati statute circle in Hassan city (Hassan, Karnataka), against the Citizenship (Amendment) Act, 2019 (CAA) and National Register of Citizens (NRC). [size=hundreds]",0,1578514389,IND
6708969,422,LBN3050,3050,"19 December 2019",2019,1,Protests,"Peaceful protest","Protesters (Lebanon)",,6,,,0,60,"Middle East",Lebanon,Beirut,Beirut,,Beirut-Port,33.8982,35.5074,1,"Murr TV",National,"On December 19 2019, On day 64 of the anti-government demonstrations, demonstrators gathered at the Shuhada square in Beirut to reject Hassan Diab as the new PM. [size=no report]",0,1578503875,LBN
6712297,104,MMR9401,9401,"19 December 2019",2019,1,Battles,"Armed clash","Military Forces of Myanmar (2016-)",,1,"PSLF/TNLA: Palaung State Liberation Front/Ta'ang National Liberation Army",,2,12,"South-Eastern Asia",Myanmar,Shan,Lashio,Lashio,"Loi Tauk",23.0299,97.6193,2,"Eleven Media Group",National,"On 19 December 2019, near Loi Tauk Village, in Loi Tauk Village Tract, in Lashio Township, in Shan State, fighting broke out between the Myanmar military and the Ta'ang National Liberation Army. No one was injured during the fighting.",0,1578511386,MMR
6715369,586,PAK55156,55156,"19 December 2019",2019,1,Protests,"Peaceful protest","Protesters (Pakistan)",,6,,,0,60,"Southern Asia",Pakistan,"Khyber Pakhtunkhwa","Lakki Marwat","Sarai Naurang","Sarai Naurang",32.8272,70.7749,2,"Pakistan Today",National,"On December 19, a rally was held in Sarai Naurang area (Lakki Marwat, KP) against the verdict of a special court to hand former Pakistan President and military ruler General (retd) Pervez Musharraf death sentence in high treason case. [size=no report]",0,1578514389,PAK
6858729,504,MOR2385,2385,"19 December 2019",2019,1,Protests,"Peaceful protest","Protesters (Morocco)","AMDH: Moroccan Association of Human Rights",6,,,0,60,"Northern Africa",Morocco,"Guelmim-Oued Noun","Sidi Ifni","Sidi Ifni","Sidi Ifni",29.3798,-10.173,1,Febrayer,National,"On 19 December 2019, in Sidi Ifni, the AMDH regional branch and residents of 'Sabt Nabeur' organized a protest in front of Sidi Ifni council to denounce the water crisis affecting the residents and the delays in the completion of water project infrastructures in the region. [size=no report]",0,1580939307,MAR
6712298,458,MYS440,440,"19 December 2019",2019,1,Protests,"Peaceful protest","Protesters (Malaysia)",,6,,,0,60,"South-Eastern Asia",Malaysia,Penang,"Bayan Lepas",,"Bayan Lepas",5.2999,100.2605,1,"Free Malaysia Today",National,"On Dec 19, 2019, a group of people held a peaceful protest in Bayan Lepas, Penang, demanding the construction of a direct road from an on-going foreign workers hostel project in their area to the main road. The hostel would be able to accommodate 9,000 foreign workers. The protesters were worried about the lack of a direct road from the hostel to the main would cause a traffic jam in their neighborhood. [size=no report]",0,1578511386,MYS
6708715,422,LBN3232,3232,"19 December 2019",2019,1,Protests,"Peaceful protest","Protesters (Lebanon)",,6,,,0,60,"Middle East",Lebanon,"Mount Lebanon",Chouf,,Damour,33.73,35.4564,2,"Civil Society Knowledge Centre","Local partner-Other","On December 19 2019, On day 64 of the anti-government demonstrations, demonstrators blocked the road between Es Saadiyat and Damour. [size=no report]",0,1578503875,LBN
6714603,356,IND68274,68274,"19 December 2019",2019,1,Protests,"Peaceful protest","Protesters (India)","Teachers (India)",6,,,0,60,"Southern Asia",India,Punjab,Amritsar,Amritsar,Amritsar,31.6344,74.8728,1,"Chandigarh Tribune",Subnational,"On Dec 19, Punjab & Chandigarh College Teachers' Union (PCCTU) protested in Amritsar city, Punjab by holding a dharna and rally against DAV Colleges Managing Committee for neglecting their demands and promotions. [size=no report]",0,1578514387,IND
6715627,356,IND68248,68248,"19 December 2019",2019,1,Protests,"Peaceful protest","Protesters (India)","SFI: Students Federation of India; Students (India); CPI(M): Communist Party of India (Marxist)",6,,,0,60,"Southern Asia",India,"Tamil Nadu",Tiruppur,Tiruppur,Tiruppur,11.1154,77.3545,1,"The Hindu",National,"On December 19, students from various colleges led by CPI (M), SFI staged a demonstration near the corporation office on Avinashi-Tiruppur Road in Tiruppur city (Tiruppur, TN), against the Citizenship (Amendment) Act, 2019 (CAA) and National Register of Citizens. [size=no report]",0,1578514389,IND
